Example,A,A(stout),A(Hammett),A(Hammett sum),A(Hammett avg.),A(C-NMR-ipso-shifts),B,B(volume),B(Hammett),C,C(volume),C(Hammett),D,D(volume),D(Hammett),Ligand,LF(volume),LB(volume),RF(volume),RB(volume),ANDEN,solvent,dielectric constant,time(h),temp
1,Ph,19.9625,0,0,0,139.5,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
2,4-MeOC6H4,17.655,-0.27,-0.27,-0.05,131.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
3,4-CF3C6H4,19.225,0.54,0.54,0.11,143.9,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
4,piperonyl,17.0616,-0.06,-0.15,-0.11,133.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
5,"2,6-(MeO)2C6H3",33.005,0.44,-0.54,-0.11,116.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
6,"2,4-(MeO)2C6H3",22.0033,-0.31,-0.54,-0.11,124.9,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
7,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,129.4,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
8,"2,3,6-(MeO)3C6H2",31.622,0.08,-0.42,-0.16,126.4,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
9,"2,3,4-(MeO)3C6H2",26.3517,0.17,-0.42,-0.16,130.5,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
10,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
11,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L1",0,279.34,279.34,0,0,dioxane,2.25,10,25
12,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,125.6,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
13,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,127.3,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
14,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,24,25
15,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,2-Me-THF,6.97,24,25
