name,L-S,smiles,comment,ee,T,ddG,ligand,substrate,solvent
R1,L1-1-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,89.2,297.15,1.690749561,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R2,L1-2-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,97.6,297.15,2.604556176,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R3,L1-3-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,96.6,297.15,2.395885692,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R4,L1-4-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1Br)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,89.8,297.15,1.726371166,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1Br)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R5,L1-5-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](c1ccccc1)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,99.2,297.15,3.258047078,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](c1ccccc1)C)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R6,L1-6-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](c1ccccc1)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,98.2,297.15,2.776222272,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](c1ccccc1)C)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R7,L1-1-S2,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,,72.8,297.15,1.091783042,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2,C=C(NC(=O)C)C(=O)OC,ClCCl
R8,L1-2-S2,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,,94.8,297.15,2.139561552,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2,C=C(NC(=O)C)C(=O)OC,ClCCl
R9,L1-3-S2,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,,80.6,297.15,1.317408753,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1)cccc2,C=C(NC(=O)C)C(=O)OC,ClCCl
R10,L1-4-S2,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1Br)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,,70.0,297.15,1.024279139,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)Oc1ccccc1Br)cccc2,C=C(NC(=O)C)C(=O)OC,ClCCl
R11,L1-5-S2,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](c1ccccc1)C)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,,95.5,297.15,2.227054647,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](c1ccccc1)C)cccc2,C=C(NC(=O)C)C(=O)OC,ClCCl
R12,L1-6-S2,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](c1ccccc1)C)cccc2.C=C(NC(=O)C)C(=O)OC.ClCCl,,93.3,297.15,1.985335828,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](c1ccccc1)C)cccc2,C=C(NC(=O)C)C(=O)OC,ClCCl
R13,L1-1-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,76.0,303.15,1.200283034,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R14,L1-2-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,89.4,303.15,1.736785894,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC(C)C)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R15,L1-7-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC1CCCC1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,93.7,303.15,2.063752499,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OC1CCCC1)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R16,L1-8-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCc1ccccc1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,94.2,303.15,2.115120812,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCc1ccccc1)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R17,L1-9-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,93.1,303.15,2.00708019,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)C)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R18,L1-10-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(CC)CC)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,93.7,303.15,2.063752499,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(CC)CC)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R19,L1-11-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)(C)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,95.3,303.15,2.245209963,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)(C)C)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R20,L1-12-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,92.0,303.15,1.914528379,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R21,L1-13-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,94.1,303.15,2.104512469,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R22,L1-14-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,94.9,303.15,2.194770246,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R23,L1-15-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCCOC)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,86.0,303.15,1.55827762,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCCOC)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R24,L1-16-S3,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCCCl)cccc2.C(=C)(c1ccccc1)NC(=O)C.ClCCl,,92.7,303.15,1.971882772,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCCCl)cccc2,C(=C)(c1ccccc1)NC(=O)C,ClCCl
R25,L1-14-S4,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2.C(=C)(c1ccc(cc1)Cl)NC(=O)C.ClCCl,,95.8,303.15,2.31450946,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2,C(=C)(c1ccc(cc1)Cl)NC(=O)C,ClCCl
R26,L1-8-S5,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCc1ccccc1)cccc2.C(=C)(c1cc2c(cc1)cccc2)NC(=O)C.ClCCl,,94.3,303.15,2.125908101,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCc1ccccc1)cccc2,C(=C)(c1cc2c(cc1)cccc2)NC(=O)C,ClCCl
R27,L1-9-S5,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)C)cccc2.C(=C)(c1cc2c(cc1)cccc2)NC(=O)C.ClCCl,,92.0,303.15,1.914528379,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)C)cccc2,C(=C)(c1cc2c(cc1)cccc2)NC(=O)C,ClCCl
R28,L1-10-S5,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(CC)CC)cccc2.C(=C)(c1cc2c(cc1)cccc2)NC(=O)C.ClCCl,,93.0,303.15,1.998100049,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(CC)CC)cccc2,C(=C)(c1cc2c(cc1)cccc2)NC(=O)C,ClCCl
R29,L1-11-S5,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)(C)C)cccc2.C(=C)(c1cc2c(cc1)cccc2)NC(=O)C.ClCCl,,93.7,303.15,2.063752499,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)OCC(C)(C)C)cccc2,C(=C)(c1cc2c(cc1)cccc2)NC(=O)C,ClCCl
R30,L1-12-S5,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2.C(=C)(c1cc2c(cc1)cccc2)NC(=O)C.ClCCl,,90.6,303.15,1.812968207,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2,C(=C)(c1cc2c(cc1)cccc2)NC(=O)C,ClCCl
R31,L1-13-S5,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2.C(=C)(c1cc2c(cc1)cccc2)NC(=O)C.ClCCl,,93.4,303.15,2.034794089,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](CC)C)cccc2,C(=C)(c1cc2c(cc1)cccc2)NC(=O)C,ClCCl
R32,L1-14-S6,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2.C(=C\C)(/c1ccccc1)\NC(=O)C.ClCCl,,76.2,303.15,1.20600843,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2,C(=C\C)(/c1ccccc1)\NC(=O)C,ClCCl
R33,L1-17-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1[C@@H]3[C@@H](OC1)[C@@H](CO3)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,97.8,297.15,2.656533622,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1[C@@H]3[C@@H](OC1)[C@@H](CO3)C)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R34,L1-17-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1[C@@H]3[C@@H](OC1)[C@@H](CO3)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,95.2,297.15,2.188037922,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1[C@@H]3[C@@H](OC1)[C@@H](CO3)C)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R35,L1-18-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](C)c1ccccc1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,98.2,297.15,2.776222272,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](C)c1ccccc1)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R36,L1-14-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,99.6,297.15,3.668533926,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@@H](C)c1ccccc1)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
